"Autor","Título","Status","Tipo","Nota","Indicado por"
"Machado de Assis","Dom Casmurro","✅","📗","⭐⭐⭐⭐",""
"Fiódor Dostoiévski","Crime e Castigo","✅","📗","⭐⭐⭐⭐",""
"Alexandre Harvard","Virtudes & Liderança","✅","📗","⭐⭐⭐⭐","Roger"
"George R.R. Martin","As Crônicas de Gelo e Fogo - A Guerra dos Tronos","✅","📗","⭐⭐⭐⭐",""
"George R.R. Martin","As Crônicas de Gelo e Fogo - A Fúria dos Reis","✅","📗","⭐⭐⭐⭐",""
"George R.R. Martin","As Crônicas de Gelo e Fogo - A Tormenta de Espadas","✅","📗","⭐⭐⭐⭐",""
"George R.R. Martin","As Crônicas de Gelo e Fogo - O Festim dos Corvos","✅","📗","⭐⭐⭐⭐",""
"Érico Verissimo","O Tempo e o Vento - O Continente vol. 1","✅","📗","⭐⭐⭐⭐",""
"Dale Carnegie","Como fazer amigos e influenciar pessoas","✅","📗📱","⭐⭐⭐⭐",""
"Jordan Peterson","12 Regras Para a Vida: Um Antídoto Para o Caos","✅","📗📱","⭐⭐⭐⭐",""
"Ichiro Kishimi & Fumitake Koga","A coragem de não agradar","✅","📗📱","⭐⭐⭐⭐",""
"Jeremy Siegel","Investindo em ações no longo prazo","✅","📱","⭐⭐⭐⭐",""
"Robert Kiyosaki","Pai Rico, Pai Pobre","✅","","⭐⭐⭐⭐",""
"Nelson Rodrigues","A Vida Como Ela É","❌","📗📱","⭐⭐⭐",""
"Benjamin Stevenson","Todo mundo da minha família já matou alguém","✅","📗","⭐⭐⭐",""
"George Orwell","A revolução dos bichos","✅","📗📱","⭐⭐⭐",""
"Robert B. Cialdini","As armas da persuasão","✅","📱","⭐⭐⭐",""
"Nassim Nicholas Taleb","A lógica do Cisne Negro","✅","📱","⭐⭐⭐",""
"Nassim Nicholas Taleb","Antifrágil","✅","📱","⭐⭐⭐",""
"Walter Isaacson","Steve Jobs","✅","🛒","⭐⭐⭐",""
