"Visitado em","Tipo","Nome","Nota","Preço","Observação","Indicado por"
"","Cafeteria","Barões do Café","","","",""
"","Cafeteria","Caffeina","","","",""
"","Cafeteria","Muso Café","","","",""
"","Cafeteria","Observatório do Café","","","",""
"","Cafeteria","São Braz","","","",""
"","Churrascaria","Fogo e Chama","","","",""
"","Churrascaria","Sal e Brasa","","","",""
"","Churrascaria","Tábua de Carne","","","",""
"","Doceria","Bocaditos","","","",""
"","Doceria","Dasmelo Confeitaria","","","",""
"","Doceria","Jolie Patisserie","","","",""
"","Espetinho","Espetaria do Bezerra","","","",""
"","Espetinho","Seu Pepeto","","","",""
"","Gelato","Bacio di Latte","","","",""
"","Gelato","Cuore di Panna","","","",""
"","Gelato","San Paolo","","","",""
"","Lanche","Burguer Sense","","","",""
"","Lanche","Gourmet Burguer","","","",""
"","Lanche","Rapadura Burguer","","","",""
"","Lanche","Sr Xis Burger","","","",""
"","Lanche","Station 84 Burger","","","",""
"","Padaria","Casa Nacre","","","",""
"","Padaria","Mercatto","","","",""
"","Padaria","Paneer","","","",""
"","Padaria","Pão & Companhia","","","",""
"","Restaurante","Agaricus","","","",""
"","Restaurante","Camarões","","","",""
"","Restaurante","Casa de Taipa","","","",""
"","Restaurante","Curió","","","Feijoada sábado e domingo",""
"","Restaurante","Forneria 1121","","","",""
"","Restaurante","Hawaii Poke","","","",""
"","Restaurante","Kalaz","","","",""
"","Restaurante","La Bodega","","","",""
"","Restaurante","Manary Restaurante","","","",""
"","Restaurante","Mangai","","","",""
"","Restaurante","Marechal","","","",""
"","Restaurante","Mina d’água","","","",""
"","Restaurante","Mormaço","","","Macarrão limão siciliano com filé mignon",""
"","Restaurante","Nau","","","",""
"","Restaurante","O Poeta","","","",""
"","Restaurante","Obar","","","",""
"","Restaurante","Outback Midway","","","",""
"","Restaurante","Thibet","","","",""
"","Restaurante","Tutti","","","",""
"","Restaurante","Zeh","","","",""
"","Sushi","Cardume","","","",""
"","Sushi","Japa em Casa","","","",""
"","","Garden São José","","","",""
