"Nome","Nascimento","Morte"
"Santo Agostinho","0354-11-13","0430-08-28"
"Santa Hildegarda de Bingen","1098-01-01","1179-09-17"
"São Francisco de Assis","1181-01-01","1226-10-03"
"Santo Antônio de Pádua","1195-08-15","1231-06-13"
"São Tomás de Aquino","1225-01-01","1274-03-07"
"Santa Rita de Cássia","1381-05-22","1457-05-22"
"Santa Joana d'Arc","1412-01-01","1431-05-30"
"Santa Teresa","1515-03-28","1582-10-04"
"São José de Anchieta","1534-03-19","1597-06-09"
"São João da Cruz","1542-06-24","1591-12-14"
"São Francisco de Sales","1567-08-21","1622-12-28"
"São Luís Gonzaga","1568-03-09","1591-06-21"
"São Roque González","1576-11-17","1628-11-15"
"São Luís Maria Grignion de Montfort","1673-01-31","1716-04-28"
"Santo Afonso Maria de Ligório","1696-09-27","1787-08-01"
"Santa Teresinha","1873-01-02","1897-09-30"
"São Padre Pio","1887-05-25","1968-09-23"
"São Maximiliano Kolbe","1894-01-08","1941-08-14"
"São Josemaria Escrivá","1902-01-09","1975-06-26"
"Santa Dulce dos Pobres","1914-05-26","1992-03-13"
"São João Paulo II","1920-05-18","2005-04-02"
